"BOARD_NUM","BOARD_WRITER","BOARD_TYPE","BOARD_TITLE","BOARD_CONTENT","REGDATE","REPLYCNT"
24,"도래미","자유게시판","[THE JELL] 1층 위스키바가 와인바로 변신했습니다.","젤에서 지난 4월 오픈했던 위스키바가 꾸준한 젤의 역사에따라
와인바로 변경하기로 결정했습니다.

평소 외부와인 반입이 어려운 젤에서는 이번에
1층의 와인바 활성화를 위해 콜키지 3만원으로 이용할수있도록 개방했습니다. 많이 많이 이용해 주세요 ^.^
예약후 이용 가능하니 문의 주세요~

*콜키지 3만원
*테이블당 2병제한
*미리 예약 후 1층만 사용가능

새로운 JELL 의 분위기를 느껴보세요",21/07/18,0
25,"JCKwineschool","자유게시판","와인인맥형성 커뮤니티 101기 개강안내","김준철와인스쿨은 2000년부터 시작하여 16년 동안 100기까지 배출하였으며, 수강생들의 강의 만족도가 높아서 졸업생이 적극적으로 추천하는 와인스쿨입니다. 와인스쿨 졸업 후에도 끈끈한 정으로 뭉친 커뮤니티는 여러분을 평생 즐겁게 해드릴 것입니다.

12월 6일(화) 오후 7시 30분 ‘소믈리에 101기’가 시작됩니다. 김준철와인스쿨에서 와인을 배우면 인생이 즐거워집니다.",21/07/18,0
26,"윤기천","자유게시판","와인 리스트 부탁합니다","안녕하세요
저는 용인 수지구 파스타,피자 매장을 운영 하는 사람 입니다.
앞으로 와인을 매장에서 취급할 예정 입니다.
레드와인 5-8종류 화이트와인 3종류. 하우스와인 레드1화이트1종류.
판매가격은 3만원부터 6.7만원 정도
어떤 와인이 좋을지 ㅠㅠ
와인 업체?
잘부탁합니다!",21/07/18,0
27,"김규식","자유게시판","이 샴페인에 대한 정보 좀 알 수 있을까요?","안녕하세요...

""""""""보테가 스타더스트 샴페인 millesimato 2014년""""""""

얼마전 이 샴페인을 구했는데요...
한국에는 정보가 없네요..ㅠㅠ

혹시 드셔보거나 알고계신분??",21/07/18,0
28,"한유미","자유게시판","[서울/서초] 삼성사옥 지하2층 와인 매장관리사원 모집","[서울/서초] 삼성웰스토리 와인 매장관리사원 모집
● 담당자 : 한유미 대리
● 이메일 : mandy@manpower.co.kr
● 이메일 지원시 메일제목에 "" 삼성웰스토리 와인셀러 이름 "" 기입하시기 바랍니다.
● 연락처 : ☎031-898-7875 /FAX:031-898-7876
(기타 궁금하신 사항이 있을경우 언제든지 연락 주시기 바랍니다.)",21/07/18,0
29,"노은지","자유게시판","현대백화점 목동점 와인판매(경력자) 모집 ★","※ 전형방법 및 지원방법

1. 서류전형(이력서, 자기소개서 작성, 사진필수)
2. 면접전형(1차 전형 서류 합격자에 한하여 개별통보)
3. 최종합격자 발표
이메일 지원시 꼭 ""현대백화점 목동점 - 지원"" 라고 작성부탁드립니다.
이메일 지원 : ono07407@jeilbmc.co.kr
전화 문의 : 02-556-1970 (내선 426)",21/07/18,0
30,"김동현","자유게시판","샤또무똥로칠드 1993빈티지 (발투스) 와인에 관해...","저는 와인수집하는 지인으로부터 10년전에 이상품을 가치가 있다고 해서 구매해서
지금까지도 보관하고 있습니다,,
프랑스 유명한화가 발투스가 그린 레이블에 때문에 가치가 있다고 해서
소장하고 있으나 정말 가치가 있는 상품인지 앞으로 더 소장해도 되는지
궁금해서 글을 올립니다,,고수님 답글부탁드립니다,,
관심이 있는분이면 연락주세요..
이메일: newkims31@ hanmail.net
연락주세요,,,",21/07/18,0
31,"cs2113","자유게시판","CMS (COURT OF MASTER SOMMELIERS) 시험 양도합니다.","개인사정으로 인해 시험을 못볼거같아서

원래시험비의 반값이하로 양도할려고합니다.

Level 1 Introductory Sommelier
Level 2 Certified Sommelier
시험이구요

4월 18,19,20일 세미나후 시험입니다.

010-2691-4600 생각있으신분은 문자부탁드립니다.",21/07/18,0
32,"고은호","자유게시판","[11/06]이태리 와인의 르네상스, 전설의 가야 와인 시음회","그랑벵코리아 부설 와인마케팅경영연구원(WMMI)에서 진행하고 있는 테마 있는 와인 시음회가 매회마다 큰 관심 속에 마감되고 있습니다. 이번에는 이태리 와인의 이미지를 세계 명품와인 대열에 오르게 한
가야(Gaja)와인 시음회를 에노테카코리아와 함께 개최하오니 많은 참여 바랍니다.",21/07/18,0
33,"김상백","자유게시판","가격정보","가격정보가 없는 와인은 올리지 마세요.",21/07/18,0
35,"정재훈","자유게시판","네이버밴드["" 와인이야기] 불법 운영의 글","회원수가 11,000여명이 넘는 와인동호인들이 활발하게 활동하던 국내 최대 온라인 와인 커뮤니티중 한 곳에서 어느날 갑자기 운영자가 어떠한 투표 절차나 아무런 예고없이 타 커뮤니티의 운영자로 변경이 되었습니다.
기존에 전혀 활동이 없던 새로운 운영자는 기존 운영자로부터 커뮤니티를 이양받았다며 그 날 이후 상업성이 농후한 와인 공동구매 및 참가비가 1인당 1회에 최대 15만원에 달하는 와인 세미나 등을 예고하고 나섰습니다. 뿐만 아니라 자신이 운영하는 타 커뮤니티의 광고를 무차별적으로 게시하여 이를 참다못한 주요 회원들의 항의가 시작하게 되었습니다.

새 운영자는 여기에 무자비한 게시물 삭제와 강퇴로 맞서 그 결과 불과 3일 사이에 수백여명의 탈퇴자가 발생하게 되었습니다.

해당 회원들은 대부분 해당 커뮤니티에서 적극적으로 활동하던 회원들로서 영문도 모르고 수많은 동호인들과 교감하며 일상의 일부분이 된 와인 커뮤니티에서 하루아침에 쫓겨난 신세가 되었습니다.",21/07/18,0
36,"박선미","자유게시판","10월7일,WSA와인아카데미 기초강좌 S클래스 개강","와인을 가장 쉽고, 재미있고, 빠르게 배우는 방법!

국내 최대 와인 교육 기관,
WSA와인아카데미의 S와인클래스(기초/취미/교양)가
10월 7일 개강합니다.

와인을 처음 시작하는 분들을 위한 교양 취미 과정으로, 이해하기 쉬우면서도 심도있는 강의를 통해 기초 와인 상식과 와인매너등을 배울 수 있습니다.

* 일정: 2015년 10월 7일 - 11월 4일 (매주 수요일) 저녁 7:30-9:30
* 장소: WSA와인아카데미
* 수강료: 340,000원
* 문의/등록: 02 516 3773",21/07/18,0
37,"김정환","자유게시판","와인 분양합니다.","spotts woode 20004 카쇼 1병 입니다. 셀러에 보관되어있구요.
mirage3@hanmail.net 으로 메일주세요.",21/07/18,0
38,"안태수","자유게시판","스파클링과 샴페인 추천부탁드립니다","가격은 3만원 정도^^;;",21/07/18,0
39,"문혜진","자유게시판","와인비전 WSET lv3 마지막 국비지원 찬스!!","WSET LV3 고급과정의 마지막 국비과정 클라스가 열립니다.

최대50~60% 국비지원 마지막과정 입니다^^

2014년 12월16일 (매주 화,목) 오후2시~5시, 7시~10시

2014년 12월20일 (매주 토) 오전10시~1시

2014년이 가기전에 국비지원 혜택 꼭 잡으세요~!!",21/07/18,0
40,"안영동","자유게시판","2014년 보졸레누보 같이 모여서 마십시다(2014 보졸레누보 와인파티)","보졸레누보는 보졸레지역 포도밭에서 처음수확된포도로 만든 와인.
AOC, beaujolais-villages 등급이고, 특히 Gamay 포도품종으로 만들어진다.
포도주양조가끝나고 바로 판매가 가능하다.
전세계적으로 11월 3째주 목요일날 판매된다.


** 오시는 모든 분께 와인잔과 와인스크류를 드리겠습니다.

** 올해는 보졸레누보 와인을 준비 예정입니다.
고급뷔페에 맞는 일부 와인들을 준비하겠습니다.",21/07/18,0
41,"조수민","자유게시판","안녕하세요 와인비전에서 함께할 가족을 찾습니다!","와인비전과 함께 성장할 인재를 구합니다.

모집부문 |; 마케팅 지원팀 1명, 와인샵 매니저 1명
근무형태 |; 정규직, 주 5일 근무
자격요건 |; 대졸 이상, 와인관련 자격증, 경력자 우대
전형방법 |; 서류전형(서류전형 합격자에 한해 개별 통보)

면접 전형(1차, 2차)
접수방법 |; 이메일 접수 (smith@winevision.kr)",21/07/18,0
42,"김 셩 모","자유게시판","와인과 CD 수집가입니다.","2006 Montes Napa Angel Aurelios Select cab sauv (1) WE:97 CG:92 130,000-
(Drink Between : 2014~2021)
2005 Cheval des Andes Bordeaux Red Blends (2) RP:94 WS:92 WE:92 120,000-
(Drink Between : 2012~2030)
2007 Anderson Conn Valley Reserve cabernet sauvignon (1) RP 94 140,000-
(Drink Between : 2014~2032)
2005 Girard cabernet sauvignon diamond mountin (1)WE:95 RP:92 120,000- (Drink Between : 2011~2019)",21/07/18,0
43,"KIMSUN","자유게시판","와인 Collector(수집가)입니다.","안녕하세요.
와인 Collector(수집가)입니다.
개인이 보유하고 있는 미국와인만 구매 원합니다
냉장보관된 7년이상의 와인으로 RP:90점 WP:90점이상의
와인이며 가격은 인터넷가격으로 $200- 정도의 와인을
원하며 와인셀러에 보관된 와인만 구매합니다.
E-mail smk9533@naver.com으로 연락주시면 감사합니다.",21/07/18,0
44,"KIMSUN","자유게시판","만약에 이렇게 맛있는 와인이 있다면?","와인의 맛은 시시각각 다름니다. 또한 표현자체가 어렵습니다. 
  같은 브렌드의 와인이라도 vintage에 따라 맛의 차이가 심한것도 있고 또한 
  가격차이가 2배이상 비싼 와인도 있습니다. 쇼핑하실때에는 사전에 조사한후 구매하셔야 좋은와인을 선택할수 있습니다. 가격이 싸면 싼대로 비싸면 비싼 이유가 있다고 보시면 올바른 선택을 하실수 있다고 봅니다.몇가지 와인을 소개하고져 합니다. 아래와 같은 와인이 시중에 있다면 주저 마시고 구입하시면 맛있는 와인을 사시는 것입니다.",21/07/18,0
45,"KIMSUN","자유게시판","2006 col solare red wine을 파는 담당자에게..","담당자는 이글을 보면 수정하는것이 옳습니다.
일부러 회사이름은 밝히지 안았습니다.
귀사는 Rating을 WS:92 RP:89로 표시하였습니다.
사실 이와인은 무척 좋은 와인인데 RP:89로 표시하면
소비자는 아주 저급와인으로 가격만 비싸다고 오해를
줄것같아 바르게 고치라고 알려드림니다. RP:93점이고
WS:94점 입니다.",21/07/18,0
46,"winespirit","자유게시판","국내 최초 와인양조학 출판","국내 최초 와인 양조학(Enology) 출간",21/07/18,0
47,"sky7504k","자유게시판","질문답글좀요 ..","안녕하세요 ..


우선저는 대학애서 차와 와인을 배우는 학생입니다 ..


근데 이번 기말고 사때 시험문제가 전통와인 만드는거라서 ...


이사이트에 질문하게 되었습니다 ..


저는 이사이트애 여러번들어와 서어떤와인이있나 공부도 하고했는데요 ...


이런거 부탁드려도 되는지는 모르겠지만 ..


와인 만드는 방법좀 알려주실수있나요 ?


부탁드립니다 ..",21/07/18,0
48,"lsc4709","자유게시판","아이리스에 나온 와인 앙투쉬라 ...","먹고싶네여.",21/07/18,0
49,"kincade9","자유게시판","2호선 낙성대역 와파니","안녕하세요^^ 2호선낙성대역5번출구쪽에서 와인빠 와파니(Wine Party in Nice)를 오픈하게된 최성지라고 합니다.~~ 저희 와인빠 와파니는 와인의 대중화를 선언하고 대한민국에서 가장 저렴하게 와인을 공급함은 물론 따듯하고 포근한 인테리어와 와인의 맛과 가장 잘어울리는 요리들로 와인의 즐거움을 만끽하시도록 도와드리는 것을 목표로 하고 있습니다.",21/07/18,0
50,"akttak","자유게시판","안녕하세요 운영자님","유통과 주류업체의 미수채권 의뢰가 늘고 있는데 주류쪽에는 큰 지식이 없어서
시장조사 겸 현재 주류쪽의 전반적인 경기에 대해서 고견을 듣고자  
귀사의 홈페이지에 문을 두드려 질문글을 올립니다.
혹시나 홈페이지 운영을 하시면서 발생될수 있는 법적문제에 대해서도
질의를 주시면 성의껏 답변 해드리겠습니다.
고문변호사와 법무사님을 모시고 업무를 보고 있다보니 제가 도와드릴수
있는  부분이 있으면 성의껏 도와드리겠습니다.
전략영업부: 김인혁 010-2279-5009 , akttak1234@naver.com
스팸성 광고 글은 아닙니다.
삭제를 원하신다면 메일한통 부탁드리겠습니다.
즐거운 하루되시기 바랍니다.",21/07/18,0
51,"merysery","자유게시판","안양지역 와인동호회는 없나요?","만약없다면 와인동호회를 만들어서 뜻맞는 사람들과 즐거운 여가활동을하고싶습니다.",21/07/18,0
52,"ysofmylife","자유게시판","샤또 라그랑쥬 2004 ..선물받았습니다.","반값정도에 가져가실분~ 있나요?
선물포장 그대로라 선물하셔도 될거같은데..
 생각있으신분 연락주세요..
010-9283-6122
그런데
이런 글도 남겨도 되나요??",21/07/18,0
53,"protein","자유게시판","라뚜르97","롯데주류BG정식수입품


55에팝니다.


010-6374-9545",21/07/18,0
54,"kdkswn323","자유게시판","봄을 부르는 Jazz와 향긋한 Wine의 향기","부산 공연계의 스테디 셀러 ‘Jazz..와인에 빠지다’ 16번째 이야기


 매 달 한번, Jazz와 와인이 만나는 달콤한 시간 ‘Jazz..와인에 빠지다’
그 열여섯 번째 이야기가 봄을 부르는 4월의 문을 연다.
따뜻한 봄바람과 함께 스위트한 와인 향을 물씬 풍기며 사랑하는 사람들과 온 몸으로 느끼는 재즈선율은 어떨까?
16번째 부산의 관객들을 맞이하는 Jazz..와인에 빠지다. 그 짙은 향기 속에 빠져보자.
"" Jazz..와인에 빠지다 "" 그 16번째 이야기는
실력파 기타리스트 이광현이 이끄는 퀸텟과 함께 합니다.
 팻 매시니를 연상시키는 화려하고 감동적인 펑키한 퓨전재즈의 세계로 관객여러분을 초대합니다. ",21/07/18,0
55,"cookje13","자유게시판","가정의 달 5월 와인 안주하시라고 쿠폰을 드립니다~","강남점과 삼성점 두 군데 매장이 있는 마노디 쉐프에서


5월에 사용가능하신 쿠폰을 드립니다...


쿠폰 사용시 병당 1만원만 내시면 가져오신 와인도 드실 수


있습니다...


예약 문의를 원하시는 분들을 위해 전화번호 남깁니다.


(강남점) 561-7111


(삼성점)561-9011",21/07/18,0
56,"bski0701","자유게시판","와인샾","과천에서 와인샾운영하는 사람입니다.

개인사정으로인해 부득이 샾을 못하게됏읍니다.


작지만 예쁜 와인샾을 운영해보고 싶으신분은 연락바랍니다.


초기자본도 얼마 안들이고 좋아하는 와인과함께 할수있으니 좋지않을까요?


관심있으신분들 연락바랍니다,(010-2322-9413)",21/07/18,0
57,"golddiy","자유게시판","아로마 킷 필요하신분","아로마 킷 (Editions Jean Lenoir) 54 The Masterkit

이있는데요.구매는 일년정도이며 2번열어본게 다임니다.

45-43-41-39만으로 내림니다.

010-5239-3사구구",21/07/18,0
58,"durry21","자유게시판","와인 확인 부탁드립니다.","Santa Helena, Reserva Cabernet Sauvignon 2008

찾아보니 2008년산은 없더라고요

좋은 답변 부탁드립니다.",21/07/18,0
59,"gerona05","자유게시판","와인냉장고 관련 문의입니다","안녕하십니까?

중국산 와인냉장고를 구입한지 2년밖에 안되었는데, 작동이 안되 수입처에 문의하니
가스(프레온?)가 없어져서 다시 넣어야 하는데 2십만원이라고 합니다.
구입가격이 35만원인데, 2년 또 쓰려고 2십만원 써야 되나요?
싸게 고치는 방법 있으면 고수님들 좀 알려주시기 바랍니다.
감사합니다.",21/07/18,0
60,"ojhsc","자유게시판","홍대 gg 할로윈 와인파티","저희 홍대 gg에서 할로윈 와인파티를 기획 하였습니다.


여러종류의 와인을 무한으로 즐길 수 있는 , 음악과 즐거운 분위기의 파티를 즐기러 오세요~


주말 저녁 여러분의 즐거움을 책임 지겠습니다. 문의 02-3142-3313",21/07/18,0
61,"melowine","자유게시판","부르고뉴와인을 좋아하세요?","외국 사이트에 한글 버전 내용이 많길래
혹시 부르고뉴 와인을 좋아하는 사람들에게 알려주면 유용할 것 같아 글을 올립니다.
부르고뉴 지방의 환경적인 조건(기후와 토질 등)에 대한 정보도 있고
와인 생산으로 유명한 지역도 알 수 있네요.
부르고뉴 화이트 와인과 레드 와인의 다양한 맛과 향에 대한
자세한 정보를 알 수 있는데 불어로 된 정보를 한글로 번역해 놓았어요.
그럼, 관심 있으신 분들은 참고로 읽어보세요..
부르고뉴와인협회 사이트 주소:
http://www.bourgogne-wines.kr/understanding-aocs/the-burgundy-region/vineyard/vineyard,574,3377.html",21/07/18,0
62,"borie86","자유게시판","대학가요제에 전재페???","혹시 전재페라고 아시나요?


전재페란!!! 대한민국 모든 대학생들을 위한 페스티벌입니다!!


페스티벌의 모든 기획부터 공연까지 대학생들이 주관하여서 하고 있습니다.


그런데!! 바로 !! 그!! 전재페에서~ 네이밍 공모전과 서포터즈 모집을 하고 있습니다~


자세한 사항은 www.jazzfetival.co.kr 에 들어오시면 확인 하실수 있습니다!!


네이밍 공모전 한분이 여러개 신청도 가능하시니까요~ 많이 많이 오셔서 신청해주세요^ㅡ^",21/07/18,0
63,"foryeol","자유게시판","와인 처분하려하는데 가격 책정 질문,,!!","안녕하세요!


고수님들께 질문좀 하려구요
DRC  리쉬부르 2003 처분을 하려합니다,
개인 사정상,,,
이정도면 얼마정도에 거래가 가능할까요
라벨,보관 상태도 A급 입니다",21/07/18,0
64,"sum137","자유게시판","빈티지풍 와인케이스 판매합니다.","빈티지풍 와인케이스에 와인을 보관하거나 선물해보세요.


와인케이스로도, 인테리어소품으로도 좋은 제품입니다.


옥션에서 판매중입니다^^


http://itempage.auction.co.kr/DetailView.aspx?ItemNo=A551503576",21/07/18,0
65,"yonggany","자유게시판","프랑스 그랑크뤼 1등급 73 올드빈티지 긴급 처분!!","안녕하세요^^
와인 리스트 먼저 기제 하겠습니다.

라뚜르, 마고, 무똥 이렇게 세병이구요.

빈티지는 제목과 동일한 73년 빈티지 입니다.

73년은 무똥이 2등급에서 1등급으로 상향되어서 의미가 있는 와인이죠^^

상세 설명을 드리자면 라뚜르랑 마고는 라벨에 약간 얼룩이 있구요,

무똥은 라벨이 상태가 좀 않좋습니다. 와인양도 약간 줄었구요. 아무레도 올드빈티지다 보니 와인마다 각각의 차이는 있지만 양의 줄어듬은 어느정도 있습니다.

와인은 제가 살던 프랑스 리옹 집 지하에 잘 보관되어 있습니다. 혹시 원하시는 분 있으 시면 세병 다 묶음으로 분양하려고 합니다. 꼭 사실 분만 전화, 문자 혹은 메일 주세요^^

Bum0513@nate.com",21/07/18,0
66,"polo0884","자유게시판","탈퇴기능이 안되요","회원탈퇴클릭했으나 기능이 안되나봐요",21/07/18,0
67,"Chianti39","자유게시판","계산은 어떻게....","결제는 어떤 방식으로 이뤄지나요? 은행도 카드도 안되는 거 같은데... 샵으로 가야되나요???",21/07/18,0
68,"hvintan","자유게시판","라벨 손상 관련입니다.","-와인 불량의 주요 유형-열화-를 읽고 궁금한 점이 있어 질문드립니다.라벨이 손상되어 간혹 장터에 나오곤 합니다. 손상이 되는 이유가 무엇이며 그 경우 와인 품질에는 어떠한 영향이 있는지요? 바쁘시겠지만 우문현답을 기다립니다. 감사합니다",21/07/18,0
69,"sunity","자유게시판","[호주와인] 와인을 찾습니다","집에 있던 와인을 무심코 마셨는데, 그게 부모님께 중요한 의미가 있는 와인이라

도로 채워놔야 합니다.;; 그런데 의외로 쉽게 구하기 힘든 것 같네요.

드 보톨리 까베르네 소비뇽 2000년산을 구할 수 있는 곳이 있을까요?

(de bortoli Yarra Valley cabernet sauvignon 2000)

호주 와인을 전문적으로 취급하는 곳에 물어봐야 할지... 관련 정보 있으시거나

이 와인을 파실 수 있는 분 찾습니다.",21/07/18,0
70,"winesquare","자유게시판","와인스퀘어 와인시음회 후기입니다^^","확실히 와인을 본격적으로 즐기기전에 자신이 좋아하는 와인의 종류를 파악하는데
  중요한거 같습니다^^ 
  안가신 분들 있으시면 추천~",21/07/18,0
71,"madunga","자유게시판","와인분양입니다","안녕하세요? 좋은 와인과 함께 하는 편안한 명절 지내셨겠죠?


다음 아이들을 분양합니다.
1. Cos Estournel(Saint-Estephe, Grand Cru Classe, Domaines Prats S.A.) 1999, 희망가 19만원

2. Gevrey Chambertin(Controlee, C?TE DOR Bourgogne, Vieilles Vignes, Domaine Heresztyn) 2004, 희망가 17만원

3. Gevrey Chambertin(Berry Bros.Rudd, Berrys own special selection) 2002, 희망가 15만원
4. Chateau Musar 2003, Wine of Lebanon, Bekka Valley, 희망가 10만원(6-7병 있어요)
5. Chateau Musar, 2001, 희망가 12만원(2병 있어요)
6. Chateau Caroline, 2005, (Moulis En Medoc), Cru Bourgeois, 희망가 6만원
7. Chateau Ferriere, 2006, Margaux, Grand Cru Classe, 희망가 6만원
8. Gevrey Chambertin(1er Cru Lavaux St-Jacques) 2003, Grand Vin De Bourgogne, 희망가 14만원
9. Chateau Pavie Decesse, 1999, Saint-Emilion Grand Cru, 희망가 30만원
10. Charmes-Chambertin(Grand Cru), 2005, Grand Vin De Bourgogne, 희망가 27만원",21/07/18,0
72,"archerdream","자유게시판","와인 추천 좀 해주세요","보디감(풀바디면 더욱 좋구요)이 있으면서 당도는 스위트한 레드와인 추천 바랍니다.


개인적으로 1865 까르미네르를 좋아하는데요.....


갠적으로 1865 까르미네르가 보디감도 있고 스위트한 맛이 있어서 조아라 합니다...


1865외에 다른 레드와인 추천 좀 해주세요.",21/07/18,0
73,"misswordjin","자유게시판","머루로 만든 스파클링와인은 없나요?","오늘 처음 가입했어요.
지난번에 머루로 만든 와인을 2병 마셔봤는데 혹시 머루로 만든 스파클링와인은 없나요?
그리고 어떤종류의 와인이든간에 여기서 인터넷구입 가능한가요?",21/07/18,1
74,"misswordjin","Q","백세주는 증류식 인가요 희석식 인가요???","증류주에 관심이 많아져서요 혹시 백세주는 증류주인지 희석주 인지 알고싶어요
그리고 대장부21 생산 중단인가요? ㅠㅠ",21/07/18,0
